content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords,wordCount,wordCount_after_stopwords
aplikasi yg sangat bagus,5,0.0,0.0,Positive,aplikasi yg bagus,4,3
belum support bahasa indonesia,3,0.0,0.0,Neutral,support bahasa indonesia,4,3
good,5,0.7,0.6000000000000001,Positive,good,1,1
sangat membantu min,4,0.0,0.0,Positive,membantu min,3,2
"strava strava,map jaman kapan yg di pakai ini? map jaman kampung gw masi hutan",1,0.0,0.0,Negative,"strava strava,map jaman yg pakai ini? map jaman kampung gw masi hutan",14,12
sinyal gps jalan2 sendiri gk jls....padahal diem gak gwrakk,1,0.0,0.0,Negative,sinyal gps jalan2 gk jls....padahal diem gak gwrakk,9,8
"saya akhirnya menemukan hobi baru yaitu lari yang mana dulu lari adalah suatu hal yang saya tidak suka dan sempat menganggap lari adalah tidak ada manfaat nya, dan sekarang saya punya keinginan untuk menjadi seorang pelari yang bisa membuat diri saya kuat dan melampaui batasan saya dalam hal positif, terimakasih strava keep strong",5,0.4333333333333333,0.7333333333333333,Positive,"menemukan hobi lari lari suka menganggap lari manfaat nya, pelari kuat melampaui batasan positif, terimakasih strava keep strong",53,18
good,5,0.7,0.6000000000000001,Positive,good,1,1
app buat para pelari baik itu yang pemula maupun yang udah pro,5,0.0,0.0,Positive,app pelari pemula udah pro,12,5
saya suka aplikasi ini,5,0.0,0.0,Positive,suka aplikasi,4,2
"bagus, cuma sering hilang record",5,0.0,0.0,Positive,"bagus, hilang record",5,3
"ini kenapa belakangan ini error teros, tolong di perbaiki secepatnya. aplikasi nya udah bagus padahal. tp gak bisa masuk belakangan ini",4,0.0,0.0,Positive,"error teros, tolong perbaiki secepatnya. aplikasi nya udah bagus padahal. tp gak masuk",21,13
knapa strava kok eror gimna ini tolong dong di benahi,5,0.0,0.0,Positive,knapa strava eror gimna tolong benahi,10,6
udah 2 hari bug mulu kaga akurat,1,0.0,0.0,Negative,udah 2 bug mulu kaga akurat,7,6
nice,5,0.6,1.0,Positive,nice,1,1
mantap banget aku jadi sering lari,5,0.0,0.0,Positive,mantap banget lari,6,3
apakah aku dapat refund langganan? strava melakukan pembayaran otomatis diluar keinginan ku,1,0.0,0.0,Negative,refund langganan? strava pembayaran otomatis diluar ku,12,7
gabisa login su,1,0.0,0.0,Negative,gabisa login su,3,3
aplikasinya error. lari 5k yg terbaca 10k,2,0.0,0.0,Negative,aplikasinya error. lari 5k yg terbaca 10k,7,7
"terimakasih strava, app ini luar biasa 👍👍👍👍👍",5,0.0,0.0,Positive,"terimakasih strava, app 👍👍👍👍👍",7,4
siiiippp,5,0.0,0.0,Positive,siiiippp,1,1
good,5,0.7,0.6000000000000001,Positive,good,1,1
ok,5,0.5,0.5,Positive,ok,1,1
tidak bisa login aplikasi tolol,1,0.0,0.0,Negative,login aplikasi tolol,5,3
it great if free version is more features.,3,0.5666666666666668,0.6833333333333332,Neutral,it great if free version is more features.,8,8
good,5,0.7,0.6000000000000001,Positive,good,1,1
keren,5,0.0,0.0,Positive,keren,1,1
keren,5,0.0,0.0,Positive,keren,1,1
messed up not counting when gps yes it is on bad once when apk is already good please developers fix it .!!!,1,0.15000000000000008,0.6333333333333333,Negative,messed up not counting when gps yes it is on bad once when apk is already good please developers fix it .!!!,22,22
sangatt bagusss,5,0.0,0.0,Positive,sangatt bagusss,2,2
mantap,5,0.0,0.0,Positive,mantap,1,1
"bintang 3 dulu, lebih lengkap kalau ada pilihan bahasa (khususnya indonesia) 🇮🇩🚀👍. up pengaturan bahasa",3,0.0,0.0,Neutral,"bintang 3 dulu, lengkap pilihan bahasa (khususnya indonesia) 🇮🇩🚀👍. up pengaturan bahasa",15,12
"kenapa sekrang selalu bug ya? saya menggunakan pace sekitaran 6 tetapi di aplikasi malah ditampilkan pace 2,dan itu sudah berulang kali saya alami selama menggunakan strava",3,0.0,0.0,Neutral,"sekrang bug ya? pace sekitaran 6 aplikasi ditampilkan pace 2,dan berulang kali alami strava",26,14
good,5,0.7,0.6000000000000001,Positive,good,1,1
"saya tidak sengaja melakukan berlangganan, saya mohon bantuan developer untuk mengembalikan dana yang sudah terpakai🙏",4,0.0,0.0,Positive,"sengaja berlangganan, mohon bantuan developer mengembalikan dana terpakai🙏",15,8
saya kasih bintang 1 karena saya sudah bersepeda lama sekali dan sudah ada km dan km/h tapi pas mau di save terus saya pencet finish malah gak ke save ini gimana,1,0.0,0.0,Negative,kasih bintang 1 bersepeda km km/h pas save pencet finish gak save gimana,31,13
"recoding saya tidak ke save, tdk bisa d kembalikan lagi fak",1,0.0,0.0,Negative,"recoding save, tdk d kembalikan fak",11,6
akurat dan keren,5,0.0,0.0,Positive,akurat keren,3,2
"mantap aplikasi nya, kalau bisa tarif berlangganannya dikasi murah dong",5,0.0,0.0,Positive,"mantap aplikasi nya, tarif berlangganannya dikasi murah",10,7
terbaik utk mengabadikan rutinitas olahraga,5,0.0,0.0,Positive,terbaik utk mengabadikan rutinitas olahraga,5,5
oke,5,0.0,0.0,Positive,oke,1,1
ga jelas mau login ga bisa alasanya network eror hadeh di perbaiki dulu lah minimal bikin ga mood lari olahraga jadinya cape nyetel ginian doang 30menit belom jadi jadi,1,-0.1,0.6,Negative,ga login ga alasanya network eror hadeh perbaiki minimal bikin ga mood lari olahraga cape nyetel ginian doang 30menit belom,29,20
👍,5,0.0,0.0,Positive,👍,1,1
coba gratis,5,0.0,0.0,Positive,coba gratis,2,2
kok saya kga bisa login ya selalu ad notifikasi eror pdhal saya sudah instal hapus instal hapus ni apk tetap aj kga bisa login....... jelek bgt ni apk,1,0.0,0.0,Negative,kga login ya ad notifikasi eror pdhal instal hapus instal hapus ni apk aj kga login....... jelek bgt ni apk,28,20
semangat larinya katany mau akmil jangan rebahan terus dong ayo # perwira muda #akmil,5,0.0,0.0,Positive,semangat larinya katany akmil rebahan ayo # perwira muda #akmil,14,10
good life,5,0.7,0.6000000000000001,Positive,good life,2,2
"fitur menghapus aktifitas sebelum disave sangat tidak berguna 👎 , seharusnya langsung tersimpan otomatis, kalau mau hapus nanti aja kalau udah tersimpan. saya tidak sengaja menghapus aktifitas sebelum tersimpan. jika anda mendukung negara lgbt 100 kelamin diversity seharusnya mendukung bahasa seluruh dunia juga, karna bahasa negara tidak hanya inggris.",1,0.0,0.0,Negative,"fitur menghapus aktifitas disave berguna 👎 , langsung tersimpan otomatis, hapus aja udah tersimpan. sengaja menghapus aktifitas tersimpan. mendukung negara lgbt 100 kelamin diversity mendukung bahasa dunia juga, karna bahasa negara inggris.",49,32
perbaiki bug nya 🥲,3,0.0,0.0,Neutral,perbaiki bug nya 🥲,4,4
"sangat membantu saat berolah raga, tes kemampuan tubuh",5,0.0,0.0,Positive,"membantu berolah raga, tes kemampuan tubuh",8,6
"strava sangat membantu untuk berlatih lari baik jarak pendek maupun jauh, keren strava",5,0.0,0.0,Positive,"strava membantu berlatih lari jarak pendek jauh, keren strava",13,9
usefull apps..,5,0.0,0.0,Positive,usefull apps..,2,2
oke,5,0.0,0.0,Positive,oke,1,1
sangat membantu,5,0.0,0.0,Positive,membantu,2,1
sering terjadi tidak sinkron antara kecepatan jalan dgn yang ter record...,3,0.0,0.0,Neutral,sinkron kecepatan jalan dgn ter record...,11,6
oh ya jangan lupa,5,0.0,0.0,Positive,oh ya lupa,4,3
not for free,1,0.4,0.8,Negative,not for free,3,3
"akun strava saya kok gak bisa login ya? pake akun apapun juga login failed, mau buat akun baru juga login failed tolong developer di fix",1,-0.5,0.3,Negative,"akun strava gak login ya? pake akun apapun login failed, akun login failed tolong developer fix",25,16
nda bisa anji**,1,0.0,0.0,Negative,nda anji**,3,2
"dikata error errar error, pw email udah bener, dulu bisa login sekarang log out sendiri sampah",1,0.0,0.0,Negative,"dikata error errar error, pw email udah bener, login log out sampah",16,12
nice apps..,5,0.6,1.0,Positive,nice apps..,2,2
deee bestt,5,0.0,0.0,Positive,deee bestt,2,2
mantap,5,0.0,0.0,Positive,mantap,1,1
"keren,mantap",5,0.0,0.0,Positive,"keren,mantap",1,1
apk butut gak bisa di pakai kalo di pakai ngaco malah ke eropa,1,0.0,0.0,Negative,apk butut gak pakai kalo pakai ngaco eropa,13,8
keren..,5,0.0,0.0,Positive,keren..,1,1
awesone app 👍,5,0.0,0.0,Positive,awesone app 👍,3,3
ini kenapa ya punya saya error hadehh tpi punya temen saya engga,1,0.0,0.0,Negative,ya error hadehh tpi temen engga,12,6
nice,5,0.6,1.0,Positive,nice,1,1
alat ukur yang sangat bagus.,5,0.0,0.0,Positive,alat ukur bagus.,5,3
nice,5,0.6,1.0,Positive,nice,1,1
salam olah raga sehat selalj,5,0.0,0.0,Positive,salam olah raga sehat selalj,5,5
good,5,0.7,0.6000000000000001,Positive,good,1,1
saran agar bisa synchronize dgn nike run,5,0.0,0.0,Positive,saran synchronize dgn nike run,7,5
terbaik,5,0.0,0.0,Positive,terbaik,1,1
bualanan kemahalan 😁,5,0.0,0.0,Positive,bualanan kemahalan 😁,3,3
"mantap bjir, saya makin kurus",5,0.0,0.0,Positive,"mantap bjir, kurus",5,3
kalau bisa min masukkan bahasa indonesia ke aplikasi strava,5,0.0,0.0,Positive,min masukkan bahasa indonesia aplikasi strava,9,6
bagus bangett.cocok buat para joging ukur waktu,5,0.0,0.0,Positive,bagus bangett.cocok joging ukur,7,4
eror mlu,1,0.0,0.0,Negative,eror mlu,2,2
kenapa maps di aplikasi strava tidak mau muncul padahal sudah saya pilih izinkan untuk lokasi dan mode hemat baterai juga sudah saya matikan tetap maps tidak mau muncul,2,0.0,0.0,Negative,maps aplikasi strava muncul pilih izinkan lokasi mode hemat baterai matikan maps muncul,28,13
"gabisa dibuka, server bermasalah tolong segera diperbaiki",1,0.0,0.0,Negative,"gabisa dibuka, server bermasalah tolong diperbaiki",7,6
good sekali apknya,4,0.7,0.6000000000000001,Positive,good apknya,3,2
good,5,0.7,0.6000000000000001,Positive,good,1,1
useful app..,5,0.3,0.0,Positive,useful app..,2,2
siiip,5,0.0,0.0,Positive,siiip,1,1
"perhitungan akurasi jarak kurang akurat, saya melakukan olahraga lari ada 1 - 0.5 atau km jarak yang tidak tercatat",4,0.0,0.0,Positive,"perhitungan akurasi jarak akurat, olahraga lari 1 - 0.5 km jarak tercatat",19,12
membantu program diet ku,5,0.0,0.0,Positive,membantu program diet ku,4,4
sangat membantu,5,0.0,0.0,Positive,membantu,2,1
mantap,5,0.0,0.0,Positive,mantap,1,1
great,5,0.8,0.75,Positive,great,1,1
"hari ini aku cycling ikut rute seperti biasanya, ada lah sekitar satu jam-an dan itu biasanya bisa sampai 15-17 kilo. sebelumnya aku udh tekan record dan udh pastiin kalo record nya nyala. tapi, setelah sampai di tujuan dan cek record nya, ternyata timer nya jalan tapi tidak dengan distancenya. setelah aku cek lagi, ternyata mode lokasi nya belum aktif. padahal di awal aplikasi kan ada persetujuan kalo mode lokasi akan aktif otomatis kalo aplikasi nya di gunakan, tapi ternyata kena scam dong. 🥴",1,0.0,0.0,Negative,"cycling rute biasanya, jam-an 15-17 kilo. udh tekan record udh pastiin kalo record nya nyala. tapi, tujuan cek record nya, timer nya jalan distancenya. cek lagi, mode lokasi nya aktif. aplikasi persetujuan kalo mode lokasi aktif otomatis kalo aplikasi nya gunakan, kena scam dong. 🥴",83,45
oke bget,5,0.0,0.0,Positive,oke bget,2,2
good job,5,0.7,0.6000000000000001,Positive,good job,2,2
